cross_one's_eyes%2:29:00::	cross_one-s_eyes%2:29:00::
croupier's_rake%1:06:00::	croupier-s_rake%1:06:00::
crow's_feet%1:25:00::	crow-s_feet%1:25:00::
crow's_foot%1:20:00::	crow-s_foot%1:20:00::
crow's_foot%1:25:00::	crow-s_foot%1:25:00::
crow's_nest%1:06:00::	crow-s_nest%1:06:00::
cuckoo's_nest%1:06:00::	cuckoo-s_nest%1:06:00::
culver's_physic%1:20:00::	culver-s_physic%1:20:00::
culver's_root%1:20:00::	culver-s_root%1:20:00::
cupid's_bow%1:06:00::	cupid-s_bow%1:06:00::
cupid's_bow%1:25:00::	cupid-s_bow%1:25:00::
cupid's_dart%1:20:00::	cupid-s_dart%1:20:00::
cupid's_disease%1:26:00::	cupid-s_disease%1:26:00::
cupid's_itch%1:26:00::	cupid-s_itch%1:26:00::
cushing's_disease%1:26:00::	cushing-s_disease%1:26:00::
cushing's_syndrome%1:26:00::	cushing-s_syndrome%1:26:00::
custer's_last_stand%1:04:00::	custer-s_last_stand%1:04:00::
customer's_broker%1:18:00::	customer-s_broker%1:18:00::
customer's_man%1:18:00::	customer-s_man%1:18:00::
dall's_sheep%1:05:00::	dall-s_sheep%1:05:00::
dalton's_law%1:09:00::	dalton-s_law%1:09:00::
dalton's_law%1:09:01::	dalton-s_law%1:09:01::
dalton's_law_of_partial_pressures%1:09:00::	dalton-s_law_of_partial_pressures%1:09:00::
dame's_violet%1:20:00::	dame-s_violet%1:20:00::
darier's_disease%1:26:00::	darier-s_disease%1:26:00::
davidson's_penstemon%1:20:00::	davidson-s_penstemon%1:20:00::
davis'_birthday%1:28:00::	davis-_birthday%1:28:00::
davy_jones's_locker%1:17:00::	davy_jones-s_locker%1:17:00::
davy's_gray%1:27:00::	davy-s_gray%1:27:00::
dawson's_encephalitis%1:26:00::	dawson-s_encephalitis%1:26:00::
dead-man's-fingers%1:20:00::	dead-man-s-fingers%1:20:00::
dead-men's-fingers%1:20:00::	dead-men-s-fingers%1:20:00::
death's_head%1:10:00::	death-s_head%1:10:00::
death's-head_moth%1:05:00::	death-s-head_moth%1:05:00::
deer's-ear%1:20:00::	deer-s-ear%1:20:00::
deer's-ears%1:20:00::	deer-s-ears%1:20:00::
de_l'orme%1:18:00::	de_l-orme%1:18:00::
democratic_people's_republic_of_korea%1:15:00::	democratic_people-s_republic_of_korea%1:15:00::
dentist's_drill%1:06:00::	dentist-s_drill%1:06:00::
desert_four_o'clock%1:20:00::	desert_four_o-clock%1:20:00::
devil's_advocate%1:18:00::	devil-s_advocate%1:18:00::
devil's_apples%1:20:00::	devil-s_apples%1:20:00::
devil's_cigar%1:20:00::	devil-s_cigar%1:20:00::
devil's_claw%1:20:00::	devil-s_claw%1:20:00::
devil's_darning_needle%1:05:00::	devil-s_darning_needle%1:05:00::
